Claim 0: |{ |Method, PAIR|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ASR, 94|
Claim 18: |{ |Method, TAP|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ASR, 62|
Claim 19: |{ |Method, TAP|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ANQ, 9.36| 
Claim 20: |{ |Method, TAP|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ASR, 86|
Claim 21: |{ |Method, TAP|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ANQ, 6.21| 
Claim 22: |{ |Method, TAP|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ASR, 22|
Claim 23: |{ |Method, TAP|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ANQ, 13| 
Claim 24: |{ |Method, PAP|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ASR, 94|
Claim 25: |{ |Method, PAP|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ANQ, 4.15| 
Claim 26: |{ |Method, PAP|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ASR, 58|
Claim 27: |{ |Method, PAP|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ANQ, 13.86| 
Claim 28: |{ |Method, PAP|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ASR, 58|
Claim 29: |{ |Method, PAP|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ANQ, 9.1| 
Claim 30: |{ |Method, PAP|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ASR, 92|
Claim 31: |{ |Method, PAP|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ANQ, 5.63| 
Claim 32: |{ |Method, PAP|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ASR, 96|
Claim 33: |{ |Method, PAP|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ANQ, 2.1| 
Claim 34: |{ |Method, PAP|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ASR, 16|
Claim 35: |{ |Method, PAP|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ANQ, 11.75| 
Claim 36: |{ |Method, GPTFuzzer|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ASR, 100|
Claim 37: |{ |Method, GPTFuzzer|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ANQ, 1.2| 
Claim 38: |{ |Method, GPTFuzzer|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ASR, 62|
Claim 39: |{ |Method, GPTFuzzer|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ANQ, 17.26| 
Claim 40: |{ |Method, GPTFuzzer|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ASR, 50|
Claim 41: |{ |Method, GPTFuzzer|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ANQ, 15.04| 
Claim 42: |{ |Method, GPTFuzzer|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ASR, 12|
Claim 43: |{ |Method, GPTFuzzer|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ANQ, 9.17| 
Claim 44: |{ |Method, GPTFuzzer|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ASR, 98|
Claim 45: |{ |Method, GPTFuzzer|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ANQ, 2.306| 
Claim 46: |{ |Method, GPTFuzzer|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ASR, 0|
Claim 47: |{ |Method, GPTFuzzer|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ANQ, N/A| 
Claim 48: |{ |Method, RedAgent (Ours)|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ASR, 100|
Claim 49: |{ |Method, RedAgent (Ours)|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ANQ, 2.68| 
Claim 50: |{ |Method, RedAgent (Ours)|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ASR, 92|
Claim 51: |{ |Method, RedAgent (Ours)|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ANQ, 6.89| 
Claim 52: |{ |Method, RedAgent (Ours)|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ASR, 96|
Claim 53: |{ |Method, RedAgent (Ours)|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ANQ, 5.73| 
Claim 54: |{ |Method, RedAgent (Ours)|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ASR, 100|
Claim 55: |{ |Method, RedAgent (Ours)|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ANQ, 3.76| 
Claim 56: |{ |Method, RedAgent (Ours)|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ASR, 100|
Claim 57: |{ |Method, RedAgent (Ours)|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ANQ, 3.76| 
Claim 58: |{ |Method, RedAgent (Ours)|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ASR, 74|
Claim 59: |{ |Method, RedAgent (Ours)|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ANQ, 9.54|
