Claim 0: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Vicuna-7b-v1.5|}, ASR, 94|
Claim 30: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, GPT-4-1106-preview|}, ASR, 92|
Claim 31: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, GPT-4-1106-preview|}, ANQ, 5.63|
Claim 32: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, Gemini-Pro|}, ASR, 96|
Claim 33: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, Gemini-Pro|}, ANQ, 2.1|
Claim 34: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, Claude-3.5-sonnet|}, ASR, 16|
Claim 35: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, Claude-3.5-sonnet|}, ANQ, 11.75|
Claim 36: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, Vicuna-7b-v1.5|}, ASR, 100|
Claim 37: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, Vicuna-7b-v1.5|}, ANQ, 1.2|
Claim 38: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, LLaMa-2-7b-chat-hf|}, ASR, 62|
Claim 39: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, LLaMa-2-7b-chat-hf|}, ANQ, 17.26|
Claim 40: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, GPT-3.5-turbo-1106|}, ASR, 50|
Claim 41: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, GPT-3.5-turbo-1106|}, ANQ, 15.04|
Claim 42: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, GPT-4-1106-preview|}, ASR, 12|
Claim 43: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, GPT-4-1106-preview|}, ANQ, 9.17|
Claim 44: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, Gemini-Pro|}, ASR, 98|
Claim 45: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, Gemini-Pro|}, ANQ, 2.306|
Claim 46: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, Claude-3.5-sonnet|}, ASR, 0|
Claim 47: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, GPTFuzzer|, |Model, Claude-3.5-sonnet|}, ANQ, N/A|
Claim 48: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, Vicuna-7b-v1.5|}, ASR, 100|
Claim 49: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, Vicuna-7b-v1.5|}, ANQ, 2.68|
Claim 50: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, LLaMa-2-7b-chat-hf|}, ASR, 92|
Claim 51: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, LLaMa-2-7b-chat-hf|}, ANQ, 6.89|
Claim 52: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, GPT-3.5-turbo-1106|}, ASR, 96|
Claim 53: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, GPT-3.5-turbo-1106|}, ANQ, 5.73|
Claim 54: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, GPT-4-1106-preview|}, ASR, 100|
Claim 55: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, GPT-4-1106-preview|}, ANQ, 3.76|
Claim 56: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, Gemini-Pro|}, ASR, 100|
Claim 57: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, Gemini-Pro|}, ANQ, 3.76|
Claim 58: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, Claude-3.5-sonnet|}, ASR, 74|
Claim 59: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, RedAgent (Ours)|, |Model, Claude-3.5-sonnet|}, ANQ, 9.54|
